state_county_name,precipitation_in,rain_days,usgs_runoff_in
Alabama-Autauga,60,87.3,19
Alabama-Baldwin,60,104.4,25.875
Alabama-Barbour,60,89.2,18
Alabama-Bibb,60,97.8,21
Alabama-Blount,60,95.5,24
Alabama-Bullock,60,97.2,18
Alabama-Butler,60,97.8,18
Alabama-Calhoun,60,97.8,23
Alabama-Chambers,60,97.8,20
Alabama-Cherokee,60,100.8,22.75
Alabama-Chilton,60,90.4,20
Alabama-Choctaw,60,96.3,22
Alabama-Clarke,60,98.4,19
Alabama-Clay,60,98.3,26.333
Alabama-Cleburne,60,97.3,21.333
Alabama-Coffee,60,99.7,20
Alabama-Colbert,60,97.8,24.5
Alabama-Conecuh,60,93.3,20
Alabama-Coosa,60,97.8,24
Alabama-Covington,60,100,21
Alabama-Crenshaw,60,97.8,18
Alabama-Cullman,60,101.7,24
Alabama-Dale,60,97.8,20
Alabama-Dallas,60,96.4,18
Alabama-De Kalb,60,115,26.333
Alabama-Elmore,60,97.8,19
Alabama-Escambia,60,93.3,23
Alabama-Etowah,60,96.9,24
Alabama-Fayette,60,98.5,22
Alabama-Franklin,60,97.8,24
Alabama-Geneva,60,98.2,21.333
Alabama-Greene,60,97.5,20
Alabama-Hale,60,97.2,20
Alabama-Henry,60,89,18
Alabama-Houston,60,97.8,20
Alabama-Jackson,60,108.8,28
Alabama-Jefferson,60,98.3,27
Alabama-Lamar,60,97.8,22
Alabama-Lauderdale,60,103.3,24.5
Alabama-Lawrence,60,110.2,24.5
Alabama-Lee,60,98.7,18
Alabama-Limestone,60,106.1,23.667
Alabama-Lowndes,60,96.1,18
Alabama-Macon,60,97.8,18
Alabama-Madison,60,108.2,28
Alabama-Marengo,60,96.4,18
Alabama-Marion,60,98.3,23.667
Alabama-Marshall,60,97.4,26.6
Alabama-Mobile,60,100.2,25.778
Alabama-Monroe,60,92.2,19
Alabama-Montgomery,60,97.8,18
Alabama-Morgan,60,108.2,25.5
Alabama-Perry,60,96.5,20
Alabama-Pickens,60,93.4,20
Alabama-Pike,60,97.7,18
Alabama-Randolph,60,97.8,22
Alabama-Russell,58.59,95.9,18
Alabama-Shelby,60,94.5,24
Alabama-St. Clair,60,97.5,25
Alabama-Sumter,60,96.2,18
Alabama-Talladega,60,97.8,24
Alabama-Tallapoosa,60,98,20
Alabama-Tuscaloosa,60,98.4,23
Alabama-Walker,60,100.9,26
Alabama-Washington,60,98.1,20
Alabama-Wilcox,60,97.6,18
Alabama-Winston,60,100.9,24
Alaska-Aleutians East,0,0,
Alaska-Aleutians West,0,0,
Alaska-Anchorage,0,0,
Alaska-Bethel,0,0,
Alaska-Bristol Bay,0,0,
Alaska-Dillingham,0,0,
Alaska-Fairbanks North Star,0,0,
Alaska-Haines,0,0,
Alaska-Juneau,0,0,
Alaska-Kenai Peninsula,0,0,
Alaska-Ketchikan Gateway,0,0,
Alaska-Kodiak Island,0,0,
Alaska-Lake and Peninsula,0,0,
Alaska-Matanuska-Susitna,0,0,
Alaska-Nome,0,0,
Alaska-North Slope,0,0,2.5
Alaska-Northwest Arctic,0,0,
Alaska-Prince of Wales-Outer Ketchikan,0,0,2.5
Alaska-Sitka,0,0,
Alaska-Skagway-Yakutat-Angoon,0,0,2.5
Alaska-Southeast Fairbanks,0,0,
Alaska-Valdez-Cordova,0,0,57.273
Alaska-Wade Hampton,0,0,
Alaska-Wrangell-Petersburg,0,0,2.5
Alaska-Yukon-Koyukuk,0,0,2.5
Arizona-Apache,13.22,53.7,1.391
Arizona-Cochise,16.09,48.1,1.14
Arizona-Coconino,14.41,52.2,0.822
Arizona-Gila,21.36,59.1,2.583
Arizona-Graham,16.1,53.6,0.867
Arizona-Greenlee,19.32,58.6,1.133
Arizona-La Paz,7.83,31.7,0.15
Arizona-Maricopa,10.15,38.6,0.76
Arizona-Mohave,10.25,42.1,0.364
Arizona-Navajo,12.02,49.8,1.887
Arizona-Pima,12.5,45,0.717
Arizona-Pinal,12.34,45.3,0.6
Arizona-Santa Cruz,19.39,60.2,0.5
Arizona-Yavapai,16.86,46.6,1.222
Arizona-Yuma,6.42,29.5,0.822
Arkansas-Arkansas,57.75,96.3,18
Arkansas-Ashley,60,85.1,15.667
Arkansas-Baxter,45,84.7,14.5
Arkansas-Benton,45,89.2,12
Arkansas-Boone,45,88.4,14.5
Arkansas-Bradley,60,96.1,15
Arkansas-Calhoun,60,97.8,15
Arkansas-Carroll,45,83,14.5
Arkansas-Chicot,60,90.5,18
Arkansas-Clark,60,90.5,19
Arkansas-Clay,45.19,92.9,17
