name,state_name,fips,land_use,r_avg,k_avg,ls_avg,c_avg,p_avg
Autauga,Alabama,1001,cropland-cultivated,375,0.24,0.195,0.39,0.96
Autauga,Alabama,1001,cropland-noncultivated,375,0.17,0.184,0,1
Autauga,Alabama,1001,pastureland,375,0.21,0.355,0.01,1
Autauga,Alabama,1001,forest,375,0.19,,,
Baldwin,Alabama,1003,cropland-cultivated,550,0.2,0.176,0.27,0.98
Baldwin,Alabama,1003,cropland-noncultivated,550,0.24,0.192,0.01,1
Baldwin,Alabama,1003,pastureland,550,0.14,0.208,0.01,1
Baldwin,Alabama,1003,forest,550,0.22,,,
Barbour,Alabama,1005,cropland-cultivated,379.08,0.17,0.493,0.32,0.86
Barbour,Alabama,1005,cropland-noncultivated,375,0.16,0.375,0.02,1
Barbour,Alabama,1005,pastureland,376.51,0.2,0.76,0.01,1
Barbour,Alabama,1005,forest,376.42,0.2,,,
Bibb,Alabama,1007,cropland-cultivated,375,0.26,0.637,0.17,0.96
Bibb,Alabama,1007,cropland-noncultivated,375,0.33,0.46,0,1
Bibb,Alabama,1007,pastureland,375,0.26,1.068,0.02,1
Bibb,Alabama,1007,forest,375,0.25,,,
Blount,Alabama,1009,cropland-cultivated,325,0.26,0.511,0.32,0.82
Blount,Alabama,1009,cropland-noncultivated,325,0.26,0.38,0.02,0.88
Blount,Alabama,1009,pastureland,325,0.26,0.72,0.01,1
Blount,Alabama,1009,forest,325,0.26,,,
Bullock,Alabama,1011,cropland-cultivated,375,0.23,0.312,0.24,0.8
Bullock,Alabama,1011,cropland-noncultivated,375,0.12,0.274,0.01,1
Bullock,Alabama,1011,pastureland,375,0.27,0.347,0.01,1
Bullock,Alabama,1011,forest,375,0.25,,,
Butler,Alabama,1013,cropland-cultivated,425,0.21,0.351,0.27,0.85
Butler,Alabama,1013,cropland-noncultivated,425,0.27,0.167,0,1
Butler,Alabama,1013,pastureland,425,0.23,0.664,0.01,1
Butler,Alabama,1013,forest,425,0.24,,,
Calhoun,Alabama,1015,cropland-cultivated,325,0.34,0.247,0.31,0.99
Calhoun,Alabama,1015,cropland-noncultivated,325,0.32,0.105,0,1
Calhoun,Alabama,1015,pastureland,325,0.34,0.344,0.01,1
Calhoun,Alabama,1015,forest,325,0.25,,,
Chambers,Alabama,1017,cropland-cultivated,350,0.23,0.788,0.22,1
Chambers,Alabama,1017,cropland-noncultivated,350,0.2,0.262,0,1
Chambers,Alabama,1017,pastureland,347.48,0.22,0.914,0.01,1
Chambers,Alabama,1017,forest,346.45,0.21,,,
Cherokee,Alabama,1019,cropland-cultivated,300,0.32,0.26,0.37,0.72
Cherokee,Alabama,1019,cropland-noncultivated,300,0.29,0.602,0.07,1
Cherokee,Alabama,1019,pastureland,300,0.31,1.021,0.01,1
Cherokee,Alabama,1019,forest,300,0.28,,,
Chilton,Alabama,1021,cropland-cultivated,375,0.24,0.3,0.29,0.8
Chilton,Alabama,1021,cropland-noncultivated,375,0.21,0.593,0.15,1
Chilton,Alabama,1021,pastureland,375,0.24,0.514,0.01,1
Chilton,Alabama,1021,forest,374.81,0.24,,,
Choctaw,Alabama,1023,cropland-cultivated,425,0.24,0.212,0.28,0.54
Choctaw,Alabama,1023,cropland-noncultivated,425,0.22,0.179,0,1
Choctaw,Alabama,1023,pastureland,425,0.25,0.664,0.01,1
Choctaw,Alabama,1023,forest,425,0.27,,,
Clarke,Alabama,1025,cropland-cultivated,450,0.24,0.218,0.21,1
Clarke,Alabama,1025,cropland-noncultivated,450,0.49,0.103,0,1
Clarke,Alabama,1025,pastureland,450,0.35,0.408,0.02,1
Clarke,Alabama,1025,forest,450,0.27,,,
Clay,Alabama,1027,cropland-cultivated,350,0.28,0.207,0.25,1
Clay,Alabama,1027,cropland-noncultivated,350,0.15,1.369,0,1
Clay,Alabama,1027,pastureland,350,0.22,0.662,0.01,1
Clay,Alabama,1027,forest,350,0.19,,,
Cleburne,Alabama,1029,cropland-cultivated,325,0.23,0.414,0.29,0.77
Cleburne,Alabama,1029,pastureland,325,0.26,0.626,0.01,1
Cleburne,Alabama,1029,forest,325,0.3,,,
Coffee,Alabama,1031,pastureland,450,0.18,0.447,0,1
Coffee,Alabama,1031,forest,450,0.18,,,
Coffee,Alabama,1031,cropland-cultivated,450,0.17,0.36,0.24,0.73
Colbert,Alabama,1033,cropland-cultivated,300,0.33,0.218,0.45,0.97
Colbert,Alabama,1033,cropland-noncultivated,300,0.37,0.164,0.02,1
Colbert,Alabama,1033,pastureland,300,0.32,0.528,0.01,1
Colbert,Alabama,1033,forest,300,0.27,,,
Conecuh,Alabama,1035,cropland-cultivated,450,0.23,0.209,0.28,0.81
Conecuh,Alabama,1035,cropland-noncultivated,450,0.24,0.227,0,1
Conecuh,Alabama,1035,pastureland,450,0.24,0.394,0,1
Conecuh,Alabama,1035,forest,449.71,0.2,,,
Coosa,Alabama,1037,cropland-cultivated,350,0.15,0.902,0.32,0.8
Coosa,Alabama,1037,pastureland,350,0.21,0.522,0.01,1
Coosa,Alabama,1037,forest,350.25,0.2,,,
Covington,Alabama,1039,cropland-cultivated,475,0.2,0.317,0.29,0.77
Covington,Alabama,1039,cropland-noncultivated,475,0.2,0.586,0,1
Covington,Alabama,1039,pastureland,475,0.17,0.333,0.01,1
Covington,Alabama,1039,forest,474.76,0.2,,,
Crenshaw,Alabama,1041,cropland-cultivated,425,0.17,0.314,0.26,0.8
Crenshaw,Alabama,1041,cropland-noncultivated,425,0.21,0.216,0.13,1
Crenshaw,Alabama,1041,pastureland,425,0.2,0.413,0.01,1
Crenshaw,Alabama,1041,forest,425,0.19,,,
Cullman,Alabama,1043,cropland-cultivated,325,0.25,0.463,0.3,0.75
Cullman,Alabama,1043,cropland-noncultivated,325,0.28,0.638,0,1
Cullman,Alabama,1043,pastureland,325,0.25,0.688,0,1
Cullman,Alabama,1043,forest,325,0.24,,,
Dale,Alabama,1045,cropland-cultivated,425,0.17,0.318,0.3,0.78
Dale,Alabama,1045,cropland-noncultivated,425,0.1,0.774,0,1
Dale,Alabama,1045,pastureland,425,0.14,0.639,0.01,1
Dale,Alabama,1045,forest,424.9,0.17,,,
Dallas,Alabama,1047,cropland-cultivated,399.51,0.26,0.16,0.29,1
Dallas,Alabama,1047,cropland-noncultivated,400,0.2,0.124,0,1
Dallas,Alabama,1047,pastureland,400,0.27,0.201,0.01,1
Dallas,Alabama,1047,rangeland,400,0.32,0.161,0.01,1
Dallas,Alabama,1047,forest,399.87,0.24,,,
De Kalb,Alabama,1049,cropland-cultivated,300,0.24,0.437,0.33,0.8
De Kalb,Alabama,1049,cropland-noncultivated,300,0.22,0.383,0,1
De Kalb,Alabama,1049,pastureland,300,0.24,0.82,0.01,1
De Kalb,Alabama,1049,forest,300,0.23,,,
Elmore,Alabama,1051,pastureland,375,0.22,0.351,0.01,1
Elmore,Alabama,1051,forest,375,0.23,,,
Elmore,Alabama,1051,cropland-cultivated,375,0.25,0.243,0.4,0.83
Elmore,Alabama,1051,cropland-noncultivated,375,0.23,0.344,0,1
Escambia,Alabama,1053,cropland-cultivated,525,0.23,0.185,0.27,0.84
Escambia,Alabama,1053,cropland-noncultivated,525,0.2,0.113,0,1
Escambia,Alabama,1053,pastureland,525,0.2,0.318,0.01,1
Escambia,Alabama,1053,forest,525,0.19,,,
Etowah,Alabama,1055,cropland-cultivated,325,0.28,0.302,0.24,0.88
Etowah,Alabama,1055,cropland-noncultivated,325,0.29,0.66,0,1
Etowah,Alabama,1055,pastureland,325,0.29,0.391,0,1
Etowah,Alabama,1055,forest,325,0.26,,,
Fayette,Alabama,1057,cropland-cultivated,350,0.32,0.294,0.32,0.85
Fayette,Alabama,1057,pastureland,350,0.3,0.505,0.01,1
Fayette,Alabama,1057,forest,350,0.29,,,
Franklin,Alabama,1059,cropland-cultivated,325,0.28,0.227,0.21,0.95
Franklin,Alabama,1059,cropland-noncultivated,325,0.37,0.127,0,1
Franklin,Alabama,1059,pastureland,324.12,0.27,0.668,0.01,1
Franklin,Alabama,1059,forest,322.55,0.2,,,
Geneva,Alabama,1061,cropland-cultivated,450,0.21,0.325,0.31,0.79
Geneva,Alabama,1061,cropland-noncultivated,450,0.1,0.287,0,1
Geneva,Alabama,1061,pastureland,450,0.19,0.44,0.01,1
Geneva,Alabama,1061,forest,450,0.18,,,
Greene,Alabama,1063,cropland-cultivated,369.26,0.28,0.147,0.23,0.97
Greene,Alabama,1063,cropland-noncultivated,375,0.32,0.172,0.01,1
Greene,Alabama,1063,pastureland,375,0.29,0.282,0.01,1
Greene,Alabama,1063,rangeland,375,0.33,0.228,0.04,1
Greene,Alabama,1063,forest,373.54,0.29,,,
Hale,Alabama,1065,cropland-cultivated,373.07,0.28,0.138,0.25,0.85
Hale,Alabama,1065,cropland-noncultivated,375,0.32,0.194,0.01,1
Hale,Alabama,1065,pastureland,371.54,0.3,0.247,0.01,1
Hale,Alabama,1065,forest,371.74,0.25,,,
Henry,Alabama,1067,cropland-cultivated,400,0.2,0.33,0.32,0.84
Henry,Alabama,1067,pastureland,400,0.18,0.658,0.01,1
Henry,Alabama,1067,forest,400,0.16,,,
Houston,Alabama,1069,cropland-cultivated,424.88,0.17,0.234,0.32,0.84
Houston,Alabama,1069,cropland-noncultivated,425,0.15,0.311,0,1
Houston,Alabama,1069,pastureland,425,0.18,0.364,0.01,1
Houston,Alabama,1069,forest,424.7,0.2,,,
Jackson,Alabama,1071,cropland-cultivated,275,0.32,0.214,0.27,0.97
Jackson,Alabama,1071,pastureland,275,0.29,0.277,0.01,1
Jackson,Alabama,1071,forest,275,0.2,,,
Jefferson,Alabama,1073,cropland-cultivated,350,0.28,0.303,0.04,1
Jefferson,Alabama,1073,cropland-noncultivated,350,0.33,0.243,0,1
Jefferson,Alabama,1073,pastureland,350,0.31,0.479,0.01,1
Jefferson,Alabama,1073,forest,350,0.28,,,
Lamar,Alabama,1075,cropland-cultivated,350,0.33,0.411,0.29,0.9
Lamar,Alabama,1075,cropland-noncultivated,350,0.28,0.366,0,1
Lamar,Alabama,1075,pastureland,350,0.27,0.656,0.01,1
Lamar,Alabama,1075,forest,350,0.19,,,
Lauderdale,Alabama,1077,cropland-cultivated,300,0.37,0.308,0.34,0.95
Lauderdale,Alabama,1077,cropland-noncultivated,300,0.38,0.43,0.01,1
Lauderdale,Alabama,1077,pastureland,300,0.34,0.439,0.01,1
Lauderdale,Alabama,1077,forest,300,0.29,,,
Lawrence,Alabama,1079,cropland-cultivated,300,0.33,0.255,0.41,0.93
Lawrence,Alabama,1079,cropland-noncultivated,300,0.34,0.295,0.04,1
Lawrence,Alabama,1079,pastureland,300,0.3,0.256,0.01,1
Lawrence,Alabama,1079,forest,300,0.31,,,
Lee,Alabama,1081,cropland-cultivated,350,0.14,0.219,0.47,0.61
Lee,Alabama,1081,cropland-noncultivated,350,0.19,0.722,0.01,1
Lee,Alabama,1081,pastureland,350,0.19,0.511,0.02,1
Lee,Alabama,1081,forest,350,0.23,,,
Limestone,Alabama,1083,cropland-cultivated,275,0.37,0.186,0.38,0.98
Limestone,Alabama,1083,cropland-noncultivated,275,0.33,0.471,0.01,1
Limestone,Alabama,1083,pastureland,275,0.36,0.394,0,1
Limestone,Alabama,1083,forest,275,0.35,,,
Lowndes,Alabama,1085,cropland-cultivated,400,0.28,0.236,0.3,0.92
Lowndes,Alabama,1085,cropland-noncultivated,400,0.25,0.262,0.01,1
Lowndes,Alabama,1085,pastureland,400,0.3,0.384,0.01,1
Lowndes,Alabama,1085,rangeland,400,0.35,0.397,0.02,1
Lowndes,Alabama,1085,forest,400,0.29,,,
Macon,Alabama,1087,cropland-cultivated,350,0.22,0.426,0.3,0.92
Macon,Alabama,1087,pastureland,350,0.22,0.547,0.02,1
Macon,Alabama,1087,forest,350,0.23,,,
Madison,Alabama,1089,cropland-cultivated,275,0.34,0.257,0.35,0.96
Madison,Alabama,1089,cropland-noncultivated,275,0.33,0.368,0,1
Madison,Alabama,1089,pastureland,275,0.33,0.398,0.01,1
Madison,Alabama,1089,forest,275,0.27,,,
Marengo,Alabama,1091,cropland-cultivated,400,0.28,0.129,0.3,0.92
Marengo,Alabama,1091,cropland-noncultivated,400,0.28,0.386,0.01,1
Marengo,Alabama,1091,pastureland,400,0.3,0.329,0.01,1
Marengo,Alabama,1091,forest,400,0.3,,,
Marion,Alabama,1093,cropland-cultivated,325,0.31,0.429,0.21,0.79
Marion,Alabama,1093,cropland-noncultivated,325,0.31,0.437,0.07,1
Marion,Alabama,1093,pastureland,325,0.28,0.834,0.02,1
Marion,Alabama,1093,forest,325,0.26,,,
Marshall,Alabama,1095,cropland-cultivated,300,0.27,0.35,0.29,0.78
Marshall,Alabama,1095,cropland-noncultivated,300,0.22,0.548,0.01,1
Marshall,Alabama,1095,pastureland,300,0.26,0.442,0.01,1
Marshall,Alabama,1095,forest,300,0.21,,,
Mobile,Alabama,1097,cropland-cultivated,550,0.19,0.267,0.32,0.96
Mobile,Alabama,1097,cropland-noncultivated,550,0.22,0.274,0.12,1
Mobile,Alabama,1097,pastureland,550,0.18,0.379,0.02,1
Mobile,Alabama,1097,forest,549.72,0.16,,,
Monroe,Alabama,1099,cropland-cultivated,450,0.23,0.192,0.32,0.87
Monroe,Alabama,1099,cropland-noncultivated,450,0.24,0.159,0,1
Monroe,Alabama,1099,pastureland,450,0.21,0.428,0.01,1
Monroe,Alabama,1099,forest,450,0.24,,,
Montgomery,Alabama,1101,cropland-cultivated,399.3,0.32,0.183,0.28,1
Montgomery,Alabama,1101,cropland-noncultivated,399.31,0.29,0.271,0.01,1
Montgomery,Alabama,1101,pastureland,398.3,0.32,0.225,0.01,1
Montgomery,Alabama,1101,forest,397.81,0.3,,,
Morgan,Alabama,1103,cropland-cultivated,300,0.33,0.302,0.3,0.8
Morgan,Alabama,1103,cropland-noncultivated,300,0.32,0.291,0.01,1
Morgan,Alabama,1103,pastureland,300,0.31,0.307,0.01,1
Morgan,Alabama,1103,forest,300,0.26,,,
Perry,Alabama,1105,cropland-cultivated,375,0.29,0.187,0.28,1
Perry,Alabama,1105,cropland-noncultivated,375,0.3,0.363,0,1
Perry,Alabama,1105,pastureland,375,0.31,0.379,0.01,1
Perry,Alabama,1105,rangeland,375,0.32,0.121,0.04,1
Perry,Alabama,1105,forest,375,0.27,,,
Pickens,Alabama,1107,cropland-cultivated,350,0.29,0.155,0.28,0.96
Pickens,Alabama,1107,cropland-noncultivated,350,0.26,0.156,0,1
Pickens,Alabama,1107,pastureland,350,0.25,0.383,0.02,1
Pickens,Alabama,1107,forest,350,0.26,,,
Pike,Alabama,1109,cropland-cultivated,400,0.17,0.336,0.31,0.82
Pike,Alabama,1109,cropland-noncultivated,400,0.28,0.875,0,1
Pike,Alabama,1109,pastureland,400,0.2,0.479,0.01,1
Pike,Alabama,1109,forest,399.85,0.18,,,
Randolph,Alabama,1111,cropland-cultivated,325,0.21,0.927,0.18,0.8
Randolph,Alabama,1111,cropland-noncultivated,325,0.15,0.903,0,1
Randolph,Alabama,1111,pastureland,325,0.19,1.103,0.01,1
Randolph,Alabama,1111,forest,325,0.18,,,
Russell,Alabama,1113,cropland-cultivated,350,0.22,0.245,0.17,0.92
Russell,Alabama,1113,cropland-noncultivated,350,0.28,0.63,0,1
Russell,Alabama,1113,pastureland,350,0.24,0.528,0.01,1
Russell,Alabama,1113,forest,350,0.22,,,
St. Clair,Alabama,1115,cropland-cultivated,350,0.33,0.525,0.24,0.72
St. Clair,Alabama,1115,cropland-noncultivated,350,0.1,0.247,0,1
St. Clair,Alabama,1115,pastureland,350,0.31,0.626,0.01,1
St. Clair,Alabama,1115,forest,350,0.31,,,
Shelby,Alabama,1117,cropland-cultivated,350,0.29,0.465,0.46,0.93
Shelby,Alabama,1117,cropland-noncultivated,350,0.33,0.536,0,1
Shelby,Alabama,1117,pastureland,350,0.32,0.866,0.01,1
Shelby,Alabama,1117,forest,350,0.29,,,
Sumter,Alabama,1119,cropland-noncultivated,375,0.31,0.142,0.01,1
Sumter,Alabama,1119,pastureland,375,0.3,0.256,0.01,1
Sumter,Alabama,1119,rangeland,375,0.29,0.591,0.04,1
Sumter,Alabama,1119,forest,375,0.29,,,
Talladega,Alabama,1121,cropland-cultivated,350,0.28,0.262,0.29,0.93
Talladega,Alabama,1121,cropland-noncultivated,350,0.28,0.175,0.41,1
Talladega,Alabama,1121,pastureland,350,0.29,0.598,0.01,1
Talladega,Alabama,1121,forest,350,0.26,,,
Tallapoosa,Alabama,1123,cropland-cultivated,350,0.23,0.285,0.31,0.96
Tallapoosa,Alabama,1123,cropland-noncultivated,350,0.18,0.501,0,1
Tallapoosa,Alabama,1123,pastureland,350,0.2,1.175,0.01,1
Tallapoosa,Alabama,1123,forest,350,0.2,,,
